Java HotSpot(TM) 64-Bit Server VM (25.171-b11) for windows-amd64 JRE (1.8.0_171-b11), built on Mar 28 2018 16:06:12 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8275748k(4083312k free), swap 16664356k(10047336k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.536: [GC (Allocation Failure) 0.536: [DefNew: 959K->63K(960K), 0.0010070 secs] 40279K->39622K(524224K), 0.0010319 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.541: [GC (Allocation Failure) 0.541: [DefNew: 959K->63K(960K), 0.0010698 secs] 40543K->39933K(524224K), 0.0011042 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.545: [GC (Allocation Failure) 0.545: [DefNew: 959K->64K(960K), 0.0012666 secs] 40853K->40244K(524224K), 0.0013001 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.548: [GC (Allocation Failure) 0.548: [DefNew: 960K->63K(960K), 0.0012365 secs] 41168K->40575K(524224K), 0.0012733 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.552: [GC (Allocation Failure) 0.552: [DefNew: 959K->64K(960K), 0.0015166 secs] 41498K->40883K(524224K), 0.0015609 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.557: [GC (Allocation Failure) 0.557: [DefNew: 960K->64K(960K), 0.0009884 secs] 41818K->41168K(524224K), 0.0010181 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.559: [GC (Allocation Failure) 0.559: [DefNew: 960K->64K(960K), 0.0009600 secs] 42108K->41436K(524224K), 0.0010007 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.564: [GC (Allocation Failure) 0.564: [DefNew: 960K->63K(960K), 0.0010082 secs] 42368K->41716K(524224K), 0.0010351 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.566: [GC (Allocation Failure) 0.566: [DefNew: 959K->63K(960K), 0.0009928 secs] 42653K->41997K(524224K), 0.0010165 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.571: [GC (Allocation Failure) 0.571: [DefNew: 959K->63K(960K), 0.0011038 secs] 42926K->42289K(524224K), 0.0011457 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.575: [GC (Allocation Failure) 0.575: [DefNew: 959K->63K(960K), 0.0010943 secs] 43213K->42595K(524224K), 0.0011342 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.578: [GC (Allocation Failure) 0.578: [DefNew: 959K->64K(960K), 0.0011425 secs] 43533K->42872K(524224K), 0.0011911 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.582: [GC (Allocation Failure) 0.582: [DefNew: 960K->64K(960K), 0.0010441 secs] 43806K->43151K(524224K), 0.0010702 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.586: [GC (Allocation Failure) 0.586: [DefNew: 960K->63K(960K), 0.0009264 secs] 44096K->43411K(524224K), 0.0009513 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.588: [GC (Allocation Failure) 0.588: [DefNew: 959K->63K(960K), 0.0009667 secs] 44354K->43678K(524224K), 0.0009900 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.592: [GC (Allocation Failure) 0.592: [DefNew: 959K->63K(960K), 0.0018070 secs] 44607K->43980K(524224K), 0.0018536 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.596: [GC (Allocation Failure) 0.596: [DefNew: 959K->63K(960K), 0.0010611 secs] 44911K->44268K(524224K), 0.0010872 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.600: [GC (Allocation Failure) 0.600: [DefNew: 959K->64K(960K), 0.0014266 secs] 45185K->44611K(524224K), 0.0014621 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.605: [GC (Allocation Failure) 0.605: [DefNew: 960K->63K(960K), 0.0013610 secs] 45537K->45092K(524224K), 0.0014017 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.609: [GC (Allocation Failure) 0.609: [DefNew: 959K->63K(960K), 0.0010963 secs] 46021K->45375K(524224K), 0.0011236 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
